Question No,Title,Url,Difficulty,Tag
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,Medium,"Dynamic Programming, Backtracking, String, Dynamic Programming, String, Backtracking, Backtracking, Dynamic Programming, String"
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,Hard,"Heap (Priority Queue), Merge Sort, Divide and Conquer, Linked List, Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Merge Sort, Heap (Priority Queue), Divide and Conquer, Linked List"
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,Medium,"Recursion, Linked List, Recursion, Linked List, Recursion, Linked List"
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,Hard,"Recursion, Recursion, Recursion, Linked List, Linked List, Linked List"
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Easy,"Two Pointers, Array, Two Pointers, Two Pointers, Array, Array"
27,Remove Element,https://leetcode.com/problems/remove-element,Easy,"Array, Two Pointers, Array, Array, Two Pointers, Two Pointers"
28,Implement strStr(),https://leetcode.com/problems/implement-strstr,Easy,"Two Pointers, String Matching, String, Two Pointers, Two Pointers, String, String Matching, String Matching, String"
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers,Medium,"Math, Bit Manipulation, Bit Manipulation, Math, Math, Bit Manipulation"
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,Hard,"Sliding Window, String, Hash Table, Sliding Window, Hash Table, Hash Table, String, String, Sliding Window"
31,Next Permutation,https://leetcode.com/problems/next-permutation,Medium,"Array, Array, Two Pointers, Array, Two Pointers, Two Pointers"
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,Hard,"Stack, Stack, Dynamic Programming, String, Dynamic Programming, Stack, String, String, Dynamic Programming"
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,Medium,"Array, Array, Binary Search, Array, Binary Search, Binary Search"
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Medium,"Binary Search, Array, Binary Search, Array, Binary Search, Array"
35,Search Insert Position,https://leetcode.com/problems/search-insert-position,Easy,"Array, Array, Binary Search, Array, Binary Search, Binary Search"
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku,Medium,"Hash Table, Array, Hash Table, Matrix, Matrix, Hash Table, Array, Array, Matrix"
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,Hard,"Backtracking, Matrix, Backtracking, Array, Matrix, Backtracking, Array, Array, Matrix"
38,Count and Say,https://leetcode.com/problems/count-and-say,Medium,"String, String, String"
39,Combination Sum,https://leetcode.com/problems/combination-sum,Medium,"Array, Backtracking, Array, Backtracking, Backtracking, Array"
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,Medium,"Backtracking, Array, Array, Backtracking, Backtracking, Array"
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive,Hard,"Hash Table, Array, Array, Array, Hash Table, Hash Table"
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,Hard,"Dynamic Programming, Array, Two Pointers, Monotonic Stack, Dynamic Programming, Stack, Monotonic Stack, Stack, Monotonic Stack, Two Pointers, Array, Array, Two Pointers, Dynamic Programming, Stack"
43,Multiply Strings,https://leetcode.com/problems/multiply-strings,Medium,"String, Math, Simulation, String, Math, Math, String, Simulation, Simulation"
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching,Hard,"Recursion, String, Dynamic Programming, Greedy, Recursion, Greedy, Dynamic Programming, String, String, Dynamic Programming, Greedy, Recursion"
45,Jump Game II,https://leetcode.com/problems/jump-game-ii,Medium,"Greedy, Array, Array, Greedy, Greedy, Dynamic Programming, Array, Dynamic Programming, Dynamic Programming"
46,Permutations,https://leetcode.com/problems/permutations,Medium,"Array, Backtracking, Backtracking, Array, Array, Backtracking"
47,Permutations II,https://leetcode.com/problems/permutations-ii,Medium,"Array, Array, Backtracking, Backtracking, Array, Backtracking"
48,Rotate Image,https://leetcode.com/problems/rotate-image,Medium,"Array, Matrix, Matrix, Math, Array, Matrix, Math, Array, Math"
49,Group Anagrams,https://leetcode.com/problems/group-anagrams,Medium,"String, Hash Table, Sorting, String, Hash Table, Hash Table, String, Sorting, Sorting"
50,"Pow(x, n)",https://leetcode.com/problems/powx-n,Medium,"Recursion, Recursion, Math, Recursion, Math, Math"
51,N-Queens,https://leetcode.com/problems/n-queens,Hard,"Backtracking, Backtracking, Array, Backtracking, Array, Array"
52,N-Queens II,https://leetcode.com/problems/n-queens-ii,Hard,"Backtracking, Backtracking, Backtracking"
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,Easy,"Array, Array, Dynamic Programming, Dynamic Programming, Array, Divide and Conquer, Divide and Conquer, Dynamic Programming, Divide and Conquer"
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix,Medium,"Matrix, Array, Array, Matrix, Array, Matrix, Simulation, Simulation, Simulation"
55,Jump Game,https://leetcode.com/problems/jump-game,Medium,"Array, Array, Greedy, Array, Dynamic Programming, Greedy, Greedy, Dynamic Programming, Dynamic Programming"
56,Merge Intervals,https://leetcode.com/problems/merge-intervals,Medium,"Sorting, Sorting, Array, Array, Sorting, Array"
57,Insert Interval,https://leetcode.com/problems/insert-interval,Medium,"Array, Array, Array"
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word,Easy,"String, String, String"
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii,Medium,"Simulation, Simulation, Matrix, Array, Simulation, Matrix, Array, Matrix, Array"
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence,Hard,"Recursion, Math, Math, Recursion, Math, Recursion"
61,Rotate List,https://leetcode.com/problems/rotate-list,Medium,"Two Pointers, Linked List, Linked List, Linked List, Two Pointers, Two Pointers"
62,Unique Paths,https://leetcode.com/problems/unique-paths,Medium,"Combinatorics, Math, Math, Dynamic Programming, Combinatorics, Math, Dynamic Programming, Combinatorics, Dynamic Programming"
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii,Medium,"Matrix, Matrix, Dynamic Programming, Array, Dynamic Programming, Array, Matrix, Array, Dynamic Programming"
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,Medium,"Matrix, Array, Array, Dynamic Programming, Matrix, Dynamic Programming, Array, Matrix, Dynamic Programming"
65,Valid Number,https://leetcode.com/problems/valid-number,Hard,"String, String, String"
66,Plus One,https://leetcode.com/problems/plus-one,Easy,"Math, Array, Array, Math, Math, Array"
67,Add Binary,https://leetcode.com/problems/add-binary,Easy,"Bit Manipulation, Math, String, Bit Manipulation, Simulation, Math, String, Bit Manipulation, Simulation, Simulation, String, Math"
68,Text Justification,https://leetcode.com/problems/text-justification,Hard,"Array, String, Simulation, Array, String, Array, String, Simulation, Simulation"
69,Sqrt(x),https://leetcode.com/problems/sqrtx,Easy,"Binary Search, Binary Search, Math, Binary Search, Math, Math"
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Easy,"Memoization, Math, Math, Dynamic Programming, Dynamic Programming, Math, Dynamic Programming, Memoization, Memoization"
71,Simplify Path,https://leetcode.com/problems/simplify-path,Medium,"Stack, Stack, String, Stack, String, String"
72,Edit Distance,https://leetcode.com/problems/edit-distance,Hard,"String, Dynamic Programming, String, Dynamic Programming, String, Dynamic Programming"
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,Medium,"Array, Hash Table, Matrix, Matrix, Hash Table, Array, Matrix, Hash Table, Array"
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,Medium,"Binary Search, Matrix, Matrix, Matrix, Binary Search, Array, Array, Array, Binary Search"
75,Sort Colors,https://leetcode.com/problems/sort-colors,Medium,"Sorting, Two Pointers, Array, Sorting, Two Pointers, Array, Array, Two Pointers, Sorting"
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,Hard,"Hash Table, Sliding Window, String, Hash Table, Sliding Window, String, Hash Table, Sliding Window, String"
77,Combinations,https://leetcode.com/problems/combinations,Medium,"Array, Backtracking, Array, Backtracking, Backtracking, Array"
78,Subsets,https://leetcode.com/problems/subsets,Medium,"Bit Manipulation, Bit Manipulation, Backtracking, Array, Bit Manipulation, Backtracking, Backtracking, Array, Array"
79,Word Search,https://leetcode.com/problems/word-search,Medium,"Array, Backtracking, Matrix, Array, Backtracking, Matrix, Matrix, Backtracking, Array"
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Medium,"Array, Two Pointers, Array, Array, Two Pointers, Two Pointers"
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,Medium,"Binary Search, Binary Search, Array, Binary Search, Array, Array"
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Medium,"Two Pointers, Linked List, Linked List, Two Pointers, Linked List, Two Pointers"
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Easy,"Linked List, Linked List, Linked List"
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,Hard,"Monotonic Stack, Stack, Array, Stack, Array, Monotonic Stack, Stack, Monotonic Stack, Array"
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle,Hard,"Dynamic Programming, Stack, Matrix, Array, Dynamic Programming, Stack, Matrix, Monotonic Stack, Monotonic Stack, Array, Monotonic Stack, Matrix, Stack, Dynamic Programming, Array"
86,Partition List,https://leetcode.com/problems/partition-list,Medium,"Linked List, Linked List, Linked List, Two Pointers, Two Pointers, Two Pointers"
87,Scramble String,https://leetcode.com/problems/scramble-string,Hard,"Dynamic Programming, String, String, Dynamic Programming, Dynamic Programming, String"
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,Easy,"Array, Two Pointers, Two Pointers, Sorting, Sorting, Array, Two Pointers, Sorting, Array"
89,Gray Code,https://leetcode.com/problems/gray-code,Medium,"Math, Bit Manipulation, Bit Manipulation, Backtracking, Math, Backtracking, Bit Manipulation, Math, Backtracking"
90,Subsets II,https://leetcode.com/problems/subsets-ii,Medium,"Backtracking, Array, Bit Manipulation, Backtracking, Array, Array, Bit Manipulation, Backtracking, Bit Manipulation"
91,Decode Ways,https://leetcode.com/problems/decode-ways,Medium,"String, String, Dynamic Programming, Dynamic Programming, String, Dynamic Programming"
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,Medium,"Linked List, Linked List, Linked List"
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses,Medium,"Backtracking, Backtracking, String, String, Backtracking, String"
94,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,Easy,"Binary Tree, Tree, Stack, Binary Tree, Depth-First Search, Tree, Stack, Tree, Depth-First Search, Binary Tree, Stack, Depth-First Search"
95,Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii,Medium,"Tree, Binary Tree, Binary Search Tree, Tree, Backtracking, Dynamic Programming, Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree, Dynamic Programming, Backtracking, Binary Search Tree, Binary Tree"
96,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees,Medium,"Math, Dynamic Programming, Math, Dynamic Programming, Binary Search Tree, Binary Tree, Binary Search Tree, Binary Tree, Math, Tree, Tree, Binary Search Tree, Binary Tree, Dynamic Programming, Tree"
97,Interleaving String,https://leetcode.com/problems/interleaving-string,Medium,"String, Dynamic Programming, Dynamic Programming, String, Dynamic Programming, String"
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,Medium,"Binary Tree, Depth-First Search, Tree, Tree, Depth-First Search, Binary Search Tree, Binary Tree, Depth-First Search, Binary Tree, Binary Search Tree, Tree, Binary Search Tree"
99,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree,Medium,"Binary Search Tree, Depth-First Search, Binary Tree, Binary Search Tree, Tree, Binary Tree, Binary Search Tree, Depth-First Search, Tree, Depth-First Search, Tree, Binary Tree"
100,Same Tree,https://leetcode.com/problems/same-tree,Easy,"Breadth-First Search, Tree, Depth-First Search, Breadth-First Search, Binary Tree, Tree, Depth-First Search, Breadth-First Search, Binary Tree, Binary Tree, Depth-First Search, Tree"
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,Easy,"Binary Tree, Tree, Depth-First Search, Breadth-First Search, Binary Tree, Breadth-First Search, Binary Tree, Breadth-First Search, Depth-First Search, Tree, Tree, Depth-First Search"
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,Medium,"Tree, Binary Tree, Breadth-First Search, Breadth-First Search, Tree, Breadth-First Search, Tree, Binary Tree, Binary Tree"
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Medium,"Binary Tree, Binary Tree, Breadth-First Search, Tree, Tree, Breadth-First Search, Binary Tree, Breadth-First Search, Tree"
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,Easy,"Binary Tree, Breadth-First Search, Depth-First Search, Tree, Depth-First Search, Breadth-First Search, Binary Tree, Tree, Depth-First Search, Breadth-First Search, Tree, Binary Tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"Binary Tree, Binary Tree, Array, Divide and Conquer, Hash Table, Tree, Divide and Conquer, Array, Hash Table, Divide and Conquer, Hash Table, Array, Tree, Binary Tree, Tree"
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Medium,"Divide and Conquer, Array, Divide and Conquer, Tree, Binary Tree, Array, Hash Table, Divide and Conquer, Tree, Binary Tree, Array, Hash Table, Binary Tree, Tree, Hash Table"
107,Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,Medium,"Breadth-First Search, Tree, Binary Tree, Binary Tree, Breadth-First Search, Tree, Binary Tree, Breadth-First Search, Tree"
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,Easy,"Divide and Conquer, Tree, Binary Search Tree, Binary Tree, Tree, Divide and Conquer, Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree, Binary Search Tree, Binary Tree, Array, Array"
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Medium,"Tree, Binary Search Tree, Binary Tree, Divide and Conquer, Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree, Linked List, Binary Tree, Linked List, Binary Search Tree, Tree, Divide and Conquer"
110,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree,Easy,"Depth-First Search, Depth-First Search, Binary Tree, Binary Tree, Depth-First Search, Binary Tree, Tree, Tree, Tree"
111,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree,Easy,"Tree, Breadth-First Search, Binary Tree, Depth-First Search, Tree, Binary Tree, Breadth-First Search, Depth-First Search, Binary Tree, Breadth-First Search, Depth-First Search, Tree"
112,Path Sum,https://leetcode.com/problems/path-sum,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree, Tree, Depth-First Search, Breadth-First Search, Binary Tree, Binary Tree, Breadth-First Search, Depth-First Search, Tree"
113,Path Sum II,https://leetcode.com/problems/path-sum-ii,Medium,"Backtracking, Tree, Depth-First Search, Binary Tree, Backtracking, Tree, Depth-First Search, Binary Tree, Depth-First Search, Binary Tree, Backtracking, Tree"
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,Medium,"Stack, Tree, Binary Tree, Depth-First Search, Linked List, Stack, Tree, Depth-First Search, Linked List, Stack, Tree, Depth-First Search, Binary Tree, Binary Tree, Linked List"
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences,Hard,"Dynamic Programming, String, String, Dynamic Programming, Dynamic Programming, String"
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Medium,"Binary Tree, Breadth-First Search, Depth-First Search, Tree, Linked List, Binary Tree, Breadth-First Search, Depth-First Search, Linked List, Tree, Tree, Depth-First Search, Breadth-First Search, Binary Tree, Linked List"
117,Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,Medium,"Binary Tree, Binary Tree, Breadth-First Search, Depth-First Search, Tree, Linked List, Tree, Depth-First Search, Binary Tree, Breadth-First Search, Linked List, Linked List, Tree, Depth-First Search, Breadth-First Search"
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle,Easy,"Dynamic Programming, Array, Array, Dynamic Programming, Dynamic Programming, Array"
119,Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii,Easy,"Dynamic Programming, Array, Dynamic Programming, Array, Dynamic Programming, Array"
120,Triangle,https://leetcode.com/problems/triangle,Medium,"Dynamic Programming, Dynamic Programming, Dynamic Programming, Array, Array, Array"
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Easy,"Array, Dynamic Programming, Array, Dynamic Programming, Array, Dynamic Programming"
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Medium,"Array, Greedy, Dynamic Programming, Array, Array, Greedy, Dynamic Programming, Dynamic Programming, Greedy"
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Hard,"Dynamic Programming, Array, Dynamic Programming, Array, Array, Dynamic Programming"
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,Hard,"Tree, Binary Tree, Dynamic Programming, Tree, Binary Tree, Depth-First Search, Binary Tree, Depth-First Search, Tree, Dynamic Programming, Dynamic Programming, Depth-First Search"
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome,Easy,"String, Two Pointers, String, Two Pointers, String, Two Pointers"
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii,Hard,"Hash Table, Breadth-First Search, Backtracking, String, Hash Table, Hash Table, String, Backtracking, Breadth-First Search, Breadth-First Search, Backtracking, String"
127,Word Ladder,https://leetcode.com/problems/word-ladder,Hard,"Breadth-First Search, Breadth-First Search, String, Hash Table, Breadth-First Search, Hash Table, String, Hash Table, String"
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,Medium,"Hash Table, Union Find, Array, Hash Table, Union Find, Union Find, Hash Table, Array, Array"
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers,Medium,"Tree, Binary Tree, Binary Tree, Binary Tree, Depth-First Search, Depth-First Search, Tree, Tree, Depth-First Search"
130,Surrounded Regions,https://leetcode.com/problems/surrounded-regions,Medium,"Breadth-First Search, Matrix, Union Find, Depth-First Search, Array, Array, Depth-First Search, Breadth-First Search, Union Find, Matrix, Matrix, Union Find, Breadth-First Search, Depth-First Search, Array"
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,Medium,"String, Dynamic Programming, Backtracking, Dynamic Programming, Backtracking, Backtracking, String, Dynamic Programming, String"
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,Hard,"String, Dynamic Programming, String, Dynamic Programming, String, Dynamic Programming"
133,Clone Graph,https://leetcode.com/problems/clone-graph,Medium,"Hash Table, Breadth-First Search, Depth-First Search, Graph, Graph, Breadth-First Search, Depth-First Search, Hash Table, Depth-First Search, Breadth-First Search, Graph, Hash Table"
134,Gas Station,https://leetcode.com/problems/gas-station,Medium,"Array, Array, Greedy, Array, Greedy, Greedy"
135,Candy,https://leetcode.com/problems/candy,Hard,"Greedy, Greedy, Array, Array, Array, Greedy"
136,Single Number,https://leetcode.com/problems/single-number,Easy,"Bit Manipulation, Bit Manipulation, Array, Array, Bit Manipulation, Array"
137,Single Number II,https://leetcode.com/problems/single-number-ii,Medium,"Bit Manipulation, Array, Bit Manipulation, Array, Bit Manipulation, Array"
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,Medium,"Linked List, Linked List, Hash Table, Hash Table, Linked List, Hash Table"
139,Word Break,https://leetcode.com/problems/word-break,Medium,"Dynamic Programming, Trie, Memoization, Dynamic Programming, String, Hash Table, Memoization, Trie, Dynamic Programming, String, Hash Table, Trie, Memoization, Hash Table, String"
140,Word Break II,https://leetcode.com/problems/word-break-ii,Hard,"Trie, Memoization, Hash Table, String, Hash Table, Backtracking, Dynamic Programming, Backtracking, Trie, Trie, Memoization, Memoization, String, Dynamic Programming, Hash Table, String, Dynamic Programming, Backtracking"
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,Easy,"Linked List, Hash Table, Hash Table, Linked List, Two Pointers, Two Pointers, Two Pointers, Linked List, Hash Table"
142,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,Medium,"Two Pointers, Linked List, Hash Table, Linked List, Hash Table, Two Pointers, Linked List, Hash Table, Two Pointers"
143,Reorder List,https://leetcode.com/problems/reorder-list,Medium,"Two Pointers, Recursion, Stack, Two Pointers, Linked List, Linked List, Linked List, Stack, Recursion, Recursion, Stack, Two Pointers"
144,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,Easy,"Depth-First Search, Depth-First Search, Tree, Binary Tree, Stack, Tree, Depth-First Search, Binary Tree, Stack, Tree, Stack, Binary Tree"
145,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,Easy,"Binary Tree, Depth-First Search, Tree, Stack, Binary Tree, Depth-First Search, Tree, Stack, Stack, Tree, Depth-First Search, Binary Tree"
146,LRU Cache,https://leetcode.com/problems/lru-cache,Medium,"Doubly-Linked List, Linked List, Hash Table, Hash Table, Linked List, Design, Doubly-Linked List, Hash Table, Linked List, Doubly-Linked List, Design, Design"
147,Insertion Sort List,https://leetcode.com/problems/insertion-sort-list,Medium,"Linked List, Sorting, Linked List, Sorting, Linked List, Sorting"
148,Sort List,https://leetcode.com/problems/sort-list,Medium,"Merge Sort, Linked List, Divide and Conquer, Merge Sort, Sorting, Divide and Conquer, Two Pointers, Linked List, Linked List, Two Pointers, Merge Sort, Sorting, Divide and Conquer, Two Pointers, Sorting"
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line,Hard,"Geometry, Array, Hash Table, Math, Geometry, Geometry, Math, Hash Table, Array, Array, Hash Table, Math"
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,Medium,"Stack, Math, Array, Math, Array, Stack, Array, Math, Stack"
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string,Medium,"String, Two Pointers, String, String, Two Pointers, Two Pointers"
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,Medium,"Dynamic Programming, Dynamic Programming, Array, Dynamic Programming, Array, Array"
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Medium,"Array, Array, Binary Search, Binary Search, Array, Binary Search"
154,Find Minimum in Rotated Sorted Array II,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii,Hard,"Binary Search, Binary Search, Array, Array, Binary Search, Array"
155,Min Stack,https://leetcode.com/problems/min-stack,Easy,"Design, Stack, Design, Stack, Design, Stack"
156,Binary Tree Upside Down,https://leetcode.com/problems/binary-tree-upside-down,Medium,"Tree, Binary Tree, Binary Tree, Depth-First Search, Tree, Depth-First Search, Tree, Binary Tree, Depth-First Search"
157,Read N Characters Given Read4,https://leetcode.com/problems/read-n-characters-given-read4,Easy,"Interactive, Simulation, Interactive, Simulation, String, String, String, Interactive, Simulation"
158,Read N Characters Given read4 II - Call Multiple Times,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Hard,"String, Interactive, String, Simulation, Interactive, Interactive, Simulation, String, Simulation"
159,Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,Medium,"Hash Table, String, Sliding Window, Hash Table, String, Sliding Window, Hash Table, String, Sliding Window"
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists,Easy,"Two Pointers, Hash Table, Hash Table, Linked List, Two Pointers, Hash Table, Linked List, Two Pointers, Linked List"
161,One Edit Distance,https://leetcode.com/problems/one-edit-distance,Medium,"String, Two Pointers, String, Two Pointers, Two Pointers, String"
162,Find Peak Element,https://leetcode.com/problems/find-peak-element,Medium,"Binary Search, Binary Search, Array, Array, Binary Search, Array"
